id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,1.44,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Dinner,preparation,1.0,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,5.22,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,2.0,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,1.5,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,2.29,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,3.9,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,0.17,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,6.45,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,4.1,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,1.25,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-17,Bakery,Lunch,preparation,5.4,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,0.5,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,6.6,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,1.105,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,3.6,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,2.2,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-17,Commissary,Breakfast,preparation,17.1,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-17,Commissary,Breakfast,preparation,37.4,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-17,Cang Yue,Lunch,preparation,1.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Breakfast,buffet,1.3,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Lunch,buffet,1.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Lunch,buffet,3.0,,1.0,C
APAC Hyatt Solo SOCAL,2022-04-16,Agra,Dinner,preparation,1.51,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Dinner,buffet,1.55,,1.0,C
APAC Hyatt Bangkok BANGH,2022-04-16,Event,Dinner,preparation,2.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Lunch,preparation,7.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Lunch,preparation,9.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-16,Commissary,Breakfast,preparation,12.7,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-16,Bakery,Breakfast,buffet,1.6,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-16,Commissary,Breakfast,preparation,0.3,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-16,Commissary,Breakfast,preparation,22.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-15,Bakery,Dinner,preparation,1.2,,1.0,C
APAC Hyatt Wangjing NAYRW,2022-04-15,Shunpachi,Dinner,preparation,0.6,,1.0,C
